iter	Passed	Remaining
925	7214	576
926	7224	568
927	7235	561
928	7246	553
929	7257	546
930	7270	538
931	7281	531
932	7292	523
933	7303	516
934	7315	508
935	7327	500
936	7338	493
937	7349	485
938	7360	478
939	7370	470
940	7382	462
941	7392	455
942	7403	447
943	7414	439
944	7426	432
945	7437	424
946	7447	416
947	7457	409
948	7466	401
949	7476	393
950	7486	385
951	7496	377
952	7507	370
953	7516	362
954	7526	354
955	7536	346
956	7547	339
957	7558	331
958	7568	323
959	7577	315
960	7585	307
961	7593	299
962	7601	292
963	7609	284
964	7615	276
965	7623	268
966	7630	260
967	7637	252
968	7644	244
969	7650	236
970	7656	228
971	7662	220
972	7668	212
973	7674	204
974	7681	196
975	7686	189
976	7692	181
977	7698	173
978	7704	165
979	7710	157
980	7716	149
981	7722	141
982	7728	133
983	7734	125
984	7740	117
985	7746	109
986	7751	102
987	7757	94
988	7763	86
989	7769	78
990	7775	70
991	7780	62
992	7786	54
993	7792	47
994	7798	39
995	7804	31
996	7810	23
997	7816	15
998	7822	7
999	7828	0
