iter	RMSE
567	56.6312934
568	56.61959493
569	56.61610817
570	56.60804582
571	56.60167002
572	56.59889519
573	56.59139194
574	56.58231311
575	56.57476851
576	56.56820097
577	56.55258883
578	56.54902556
579	56.54134945
580	56.53281286
581	56.52551129
582	56.51872652
583	56.50594892
584	56.49187178
585	56.47974656
586	56.46658073
587	56.46017646
588	56.45258103
589	56.44582882
590	56.43793777
591	56.43268761
592	56.41938446
593	56.41221152
594	56.40402772
595	56.39711
596	56.38980347
597	56.38327752
598	56.37453445
599	56.36338926
600	56.35604344
601	56.35131612
602	56.34511376
603	56.34137961
604	56.32955563
605	56.31738242
606	56.30843067
607	56.30260555
608	56.29572569
609	56.28888116
610	56.28126777
611	56.27594505
612	56.26960682
613	56.26501366
614	56.25680651
615	56.24926946
616	56.24390392
617	56.23760128
618	56.23348478
619	56.22631059
620	56.21866421
621	56.21526983
622	56.20850431
623	56.20439661
624	56.20184056
625	56.2017903
626	56.19708999
627	56.19216262
628	56.18216804
629	56.17454594
630	56.16403944
631	56.15740098
632	56.14984857
633	56.1470584
634	56.14344547
635	56.13686932
636	56.13120505
637	56.12347641
638	56.11960859
639	56.11000217
640	56.10510737
641	56.09907699
642	56.09264298
643	56.08415809
644	56.07433616
645	56.06779996
646	56.06145069
647	56.05677878
648	56.05349354
649	56.04547911
650	56.03971906
651	56.03172195
652	56.01956779
653	56.01162862
654	56.00669576
655	55.99920085
656	55.99389284
657	55.98264203
658	55.97786338
659	55.96632399
660	55.96177182
661	55.95788877
662	55.95254727
663	55.94439
664	55.9365756
665	55.92977577
666	55.92614029
667	55.92044953
668	55.91810156
669	55.91193176
670	55.90726242
671	55.90102335
672	55.89062175
673	55.88784043
674	55.88210543
675	55.87609184
676	55.87115126
677	55.86497231
678	55.85895712
679	55.85261386
680	55.84872469
681	55.83775478
682	55.83402355
683	55.82858413
684	55.8232586
685	55.81550156
686	55.80696398
687	55.79586379
688	55.79039828
689	55.7831701
690	55.77589457
691	55.76858768
692	55.76529488
693	55.75789066
694	55.75216889
695	55.74563798
696	55.73754704
697	55.7327562
698	55.7260997
699	55.71957533
700	55.70587341
701	55.69659075
702	55.69101532
703	55.68172945
704	55.67347857
705	55.66662559
706	55.65776041
707	55.65421149
708	55.64831418
709	55.62922144
710	55.6179717
711	55.61213629
712	55.59973231
713	55.59264523
714	55.58600899
715	55.57577064
716	55.56593656
717	55.5591194
718	55.55384271
719	55.54492403
720	55.5353046
721	55.532319
722	55.52728313
723	55.5196742
724	55.51318572
725	55.50499628
726	55.49790522
727	55.49073293
728	55.48459733
729	55.47784186
730	55.47189311
731	55.46916126
732	55.4620939
733	55.4559827
734	55.44752136
735	55.44222826
736	55.43045929
737	55.4238543
738	55.41610789
739	55.4105309
740	55.40222173
741	55.39599524
742	55.38853576
743	55.38251206
744	55.37466825
745	55.37044476
746	55.36186956
747	55.3532163
748	55.34544639
749	55.33757001
750	55.33012091
751	55.32178697
752	55.31817722
753	55.31133552
754	55.30884747
755	55.30216518
756	55.29337341
757	55.28369168
758	55.27773789
759	55.27172626
760	55.26763501
761	55.26098502
762	55.25298042
763	55.24414109
764	55.23782339
765	55.23081183
766	55.22374478
767	55.21863513
768	55.2125604
769	55.20737114
770	55.20274022
771	55.19840874
772	55.19493599
773	55.19109281
774	55.18809317
775	55.18195641
776	55.17276342
777	55.16703577
778	55.16356714
779	55.15212871
780	55.14739937
781	55.14141676
782	55.12741894
783	55.12058195
784	55.11667213
785	55.11389826
786	55.09911781
787	55.09430673
788	55.08813901
789	55.0839499
790	55.07471846
791	55.07175096
792	55.06442095
793	55.0575362
794	55.04808543
795	55.04428636
796	55.03926794
797	55.03383521
798	55.02614725
799	55.01633189
800	55.01046733
801	55.00433464
802	54.99884644
803	54.99470549
804	54.98886747
805	54.98549733
806	54.97652784
807	54.97075865
808	54.95693158
809	54.9480426
810	54.94267665
811	54.93671093
812	54.92931373
813	54.92537664
814	54.92060079
815	54.91088469
816	54.90609282
817	54.90344623
818	54.90073374
819	54.89244586
820	54.88445486
821	54.87687651
822	54.86882389
823	54.86362467
824	54.85396179
825	54.84957817
826	54.84858597
827	54.84266569
828	54.8386719
829	54.83270835
830	54.82977447
831	54.82569221
832	54.81985667
833	54.8160681
834	54.80522428
835	54.80334349
836	54.79749774
837	54.78832753
838	54.78241031
839	54.77631216
840	54.76970755
841	54.76562541
842	54.7625594
843	54.75824313
844	54.75118025
845	54.74508614
846	54.7303015
847	54.72102836
848	54.71860747
849	54.71312469
850	54.70387621
851	54.6973727
852	54.69164965
853	54.68651855
854	54.68312753
855	54.67792164
856	54.67447833
857	54.66759383
858	54.66030452
859	54.65415175
860	54.64857666
861	54.6424527
862	54.63898044
863	54.63440345
864	54.62742435
865	54.62047932
866	54.61602974
867	54.61223312
868	54.6017762
869	54.59588947
870	54.58956246
871	54.58390265
872	54.57926883
873	54.57561174
874	54.56611736
875	54.55686762
876	54.55107377
877	54.54505845
878	54.54125118
879	54.53678453
880	54.53179663
881	54.52333431
882	54.51696345
883	54.51137087
884	54.50867021
885	54.50373692
